25,1100,2
29,1100,2
36,1100,2
37,1100,2
39,1100,2
42,1100,2
51,1100,2
53,1100,2
59,1100,2
10,1800,3
22,1800,3
24,1800,3
32,1800,3
40,1800,3
47,1800,3
52,1800,3
61,1800,3
64,1800,3
65,1800,3
15,3000,4
18,3000,4
21,3000,4
23,3000,4
43,3000,4
45,3000,4
60,3000,4
63,3000,4
12,4400,5
13,4400,5
14,4400,5
31,4400,5
34,4400,5
38,4400,5
41,4400,5
48,4400,5
50,4400,5
55,4400,5
68,4400,5
11,6500,6
17,6500,6
20,6500,6
26,6500,6
27,6500,6
30,6500,6
33,6500,6
35,6500,6
54,6500,6
56,6500,6
57,6500,6
62,6500,6
66,6500,6
16,9500,7
19,9500,7
28,9500,7
44,9500,7
46,9500,7
49,9500,7
58,9500,7
67,9500,7
